Key,Value,"Plugin name","File name"
CookiePositionTitle,"Cookie Einstellungen",CookiePosition,CookiePosition.properties
confirmationHeader,"Sehr geehrter Kunde,",cytItemAvailabilityNotification,Mail.properties
confirmationText,"Gerne informieren wir Dich, sobald der Artikel "":itemName"" wieder verfügbar ist. Bitte bestätige dazu Deine E-Mail-Adresse über folgenden Link:",cytItemAvailabilityNotification,Mail.properties
confirmationLinkText,:confirmationUrl,cytItemAvailabilityNotification,Mail.properties
confirmationFooter,"Vielen Dank",cytItemAvailabilityNotification,Mail.properties
notificationHeader,"Sehr geehrter Kunde,",cytItemAvailabilityNotification,Mail.properties
notificationText,"wir freuen uns, Dir mitteilen zu können, dass der Artikel "":itemName"" ab sofort wieder in unserem Online-Shop verfügbar ist.",cytItemAvailabilityNotification,Mail.properties
notificationLinkText,":itemName"" im Shop anzeigen",cytItemAvailabilityNotification,Mail.properties
notificationFooter,"Vielen Dank",cytItemAvailabilityNotification,Mail.properties
formHintText,"Gerne informieren wir Dich, sobald der Artikel wieder verfügbar ist.",cytItemAvailabilityNotification,Template.properties
mailInputLabel,E-Mail-Adresse,cytItemAvailabilityNotification,Template.properties
subscriptionSucceed,"Wir haben Dir eine E-Mail zur Bestätigung Deiner Registrierung gesendet. Bitte prüfe Dein Postfach.",cytItemAvailabilityNotification,Template.properties
subscriptionFailed,"Bei der Registrierung kam es zu einem Fehler!",cytItemAvailabilityNotification,Template.properties
subscriptionReCaptchaFailed,"Um das Formular abzuschicken, musst Du den Google reCAPTCHA-Cookie akzeptieren. Öffne die Datenschutzeinstellungen links unten auf der Seite und klicke auf ""Weitere Einstellungen"". Aktiviere den reCAPTCHA-Cookie im Bereich ""Externe Medien"" und speichere die Einstellungen.",cytItemAvailabilityNotification,Template.properties
confirmationSucceed,"Vielen Dank. Wir benachrichtigen Dich, sobald der gewünschte Artikel wieder verfügbar ist.",cytItemAvailabilityNotification,Template.properties
confirmationFailed,"Bei der Bestätigung Deiner Registrierung kam es zu einem Fehler!",cytItemAvailabilityNotification,Template.properties
invalidMail,"Die E-Mail-Adresse ist ungültig",cytItemAvailabilityNotification,Template.properties
submitLabel,Senden,cytItemAvailabilityNotification,Template.properties
notificationMailSubject,"Dein gewünschter Artikel ist wieder verfügbar!",cytItemAvailabilityNotification,Template.properties
confirmationMailSubject,"Bitte bestätige Deine Registrierung",cytItemAvailabilityNotification,Template.properties
privacyHintText,"Mit der Anmeldung bestätige ich, dass ich die :policy gelesen habe.",cytItemAvailabilityNotification,Template.properties
requiredPrivacyHintText,"Hiermit bestätige ich, dass ich die :policy gelesen habe.",cytItemAvailabilityNotification,Template.properties
bankAccountOwner,Inhaber:,PrePayment,PaymentMethod.properties
bankDetails,Bankdaten,PrePayment,PaymentMethod.properties
bankIban,IBAN:,PrePayment,PaymentMethod.properties
bankName,Bank:,PrePayment,PaymentMethod.properties
bankSwift,BIC/SWIFT:,PrePayment,PaymentMethod.properties
reinitPaymentButton,"Bankdetails anzeigen",PrePayment,PaymentMethod.properties
designatedUse,Verwendungszweck,PrePayment,PaymentMethod.properties
designatedUseText,"Die Versandabwicklung der Bestellung erfolgt erst nach Zahlungseingang. Bitte gib folgenden Verwendungszweck an:",PrePayment,PaymentMethod.properties
paymentMethodDescription,,PrePayment,PaymentMethod.properties
paymentMethodName,Vorkasse,PrePayment,PaymentMethod.properties
tag1TextStatusAvailable,"Verfügbar TAG 1.",ItemAvailabilityInfo,Tags.properties
tag1TextStatusOthers,"Alle andere Kombination TAG 1.",ItemAvailabilityInfo,Tags.properties
tag1TextStatusPreorder,"Zum Vorbestellen TAG 1.",ItemAvailabilityInfo,Tags.properties
tag2TextStatusAvailable,"Verfügbar TAG 2.",ItemAvailabilityInfo,Tags.properties
tag2TextStatusOthers,"Alle andere Kombination TAG 2.",ItemAvailabilityInfo,Tags.properties
tag2TextStatusPreorder,"Zum Vorbestellen TAG 2.",ItemAvailabilityInfo,Tags.properties
tag3TextStatusAvailable,"Verfügbar TAG 3.",ItemAvailabilityInfo,Tags.properties
tag3TextStatusOthers,"Alle andere Kombination TAG 3.",ItemAvailabilityInfo,Tags.properties
tag3TextStatusPreorder,"Zum Vorbestellen TAG 3.",ItemAvailabilityInfo,Tags.properties
